,Statistic,#,Full Name,Pos.,Ht.,Wt.,Cl.,Hometown / High School,Current School Name,Previous School,Image,Name,Title
32,,21.0,Corey Kiner,RB,5-9,210.0,Jr.,"Cincinnati, Ohio / Roger Bacon",Cincinnati,LSU,,,
33,,22.0,Ryan Montgomery,RB,5-11,200.0,Sr.,"Franklin, Ohio / Franklin",Cincinnati,,,,
34,,22.0,Jonathan Thompson,LB,6-2,228.0,R-Fr.,"Columbus, Ohio / St. Francis De Sales",Cincinnati,,,,
35,,23.0,Daved Jones Jr.,LB,6-1,225.0,R-Jr.,"Cincinnati, Ohio / Lakota West",Cincinnati,,,,
36,,24.0,Todd Bumphis,CB,6-0,194.0,R-Jr.,"Toledo, Ohio / St. Francis De Sales",Cincinnati,,,,
37,,25.0,Shaun Thomas,RB,6-0,205.0,R-So.,"Lima, Ohio / Central Catholic",Cincinnati,,,,
38,,26.0,Myles Montgomery,RB,5-11,202.0,R-So.,"Jacksonville, Fla. / Fletcher",Cincinnati,,,,
39,,26.0,Malik Rainey,CB,5-11,185.0,R-So.,"Chicago, Ill. / Bolingbrook",Cincinnati,,,,
40,,27.0,Armorion Smith,S,6-1,205.0,R-So.,"Detroit, Mich. / River Rouge",Cincinnati,,,,
41,,29.0,Manny Covey,RB,5-11,182.0,Fr.,"Starke, Fla. / Bradford",Cincinnati,,,,
42,,29.0,Jacob Dingle,S,5-11,192.0,Sr.,"Louisville, Ky. / Trinity",Cincinnati,,,,
43,,31.0,Mason Fletcher,P,6-7,205.0,Jr.,"Melbourne, Australia / ProKick",Cincinnati,,,,
44,,31.0,Ken Willis,DB,5-11,178.0,R-Fr.,"Cincinnati, Ohio / Colerain",Cincinnati,,,,
45,,32.0,James Camden,DB,6-1,225.0,R-Jr.,"Cincinnati, Ohio / Anderson",Cincinnati,,,,
46,,33.0,Carter Brown,PK,6-0,195.0,So.,"Pearland, Texas / Dawson High School",Cincinnati,Arizona State,,,
47,,33.0,CJ Doggette,DT,6-2,267.0,R-Fr.,"Pickerington, Ohio / Pickerington Central",Cincinnati,,,,
48,,34.0,Caleb Schmitz,TE,6-3,228.0,R-So.,"Lancaster, Pa. / Warwick",Cincinnati,,,,
49,,35.0,Brady Young,P,6-3,215.0,R-So.,"Perrysburg, Ohio / Perrysburg",Cincinnati,,,,
50,,39.0,Bryce Burton,K,5-10,200.0,R-Sr.,"Cincinnati, Ohio / Princeton",Cincinnati,,,,
51,,39.0,Cincear Lewis,DB,6-2,210.0,R-Fr.,"Kalamazoo, Mich. / Kalamazoo Central",Cincinnati,,,,
52,,42.0,Stephan Byrd,RB,6-0,220.0,R-Fr.,"Canal Winchester, Ohio / Canal Winchester HS",Cincinnati,,,,
53,,43.0,Jonah Lytle,CB,5-11,175.0,R-So.,"Canton, Ohio / McKinley",Cincinnati,,,,
54,,44.0,Jah-Mal Williams,DL,6-4,240.0,R-So.,"Carver Ranches, Fla. / Cardinal Gibbons",Cincinnati,,,,
55,,45.0,Barak Faulk,DL,6-3,240.0,R-Jr.,"Cincinnati, Ohio / Mason",Cincinnati,,,,
56,,46.0,Antwan Peek Jr.,DB,6-2,195.0,R-Fr.,"Cincinnati, Ohio / Indian Hill",Cincinnati,,,,
57,,49.0,Jack Dingle,LB,6-4,238.0,R-So.,"Louisville, Ky. / Trinity",Cincinnati,,,,
58,,50.0,Jackson Bruscianelli,LB,5-11,245.0,R-Sr.,"Chicago, Ill. / Montini Catholic",Cincinnati,,,,
59,,50.0,Evan Tengesdahl,OL,6-4,312.0,Fr.,"Dayton, Ohio / Wayne",Cincinnati,,,,
60,,51.0,Ben Blevins,DL,6-2,270.0,R-Jr.,"Cincinnati, Ohio / La Salle",Cincinnati,,,,
61,,53.0,Gavin Gerhardt,OL,6-4,300.0,R-Jr.,"Xenia, Ohio / Xenia",Cincinnati,,,,
62,,54.0,Dartanyan Tinsley,OL,6-5,315.0,Sr.,"Owensboro, Ky. / Owensboro HS",Cincinnati,Kentucky Christian,,,
63,,55.0,Mao Glynn II,OL,6-3,300.0,R-So.,"Cincinnati, Ohio / Walnut Hills",Cincinnati,,,,
64,,57.0,Ryan Mullaney,DL,6-2,250.0,R-Sr.,"Cincinnati, Ohio / Moeller",Cincinnati,,,,
65,,58.0,Trevor Radosevich,OL,6-4,310.0,R-Sr.,"Englishtown, N.J. / Manalapan",Cincinnati,Penn,,,
66,,61.0,Luke Dalton,OL,6-5,305.0,R-Fr.,"Crystal Lake, Ill. / Marian Central Catholic",Cincinnati,,,,
67,,62.0,Matt Mason,OL,6-3,295.0,R-Fr.,"Union, Ky. / Ryle",Cincinnati,,,,
68,,66.0,Landon Fickell,OL,6-4,290.0,R-So.,"Cincinnati, Ohio / Moeller",Cincinnati,,,,
69,,67.0,Luke Kandra,OL,6-4,318.0,R-Jr.,"Cincinnati, Ohio / Elder",Cincinnati,Louisville,,,
70,,69.0,Cam Jones,OL,6-8,325.0,R-Sr.,"Knott County, Ky. / Fredrick Douglass",Cincinnati,,,,
71,,74.0,Phillip Wilder,OL,6-5,305.0,R-Jr.,"Jonesboro, Ga. / Mt. Zion",Cincinnati,Southeast Missouri State,,,
72,,75.0,John Williams,OL,6-5,310.0,R-Jr.,"Bolingbrook, Ill. / Bolingbrook",Cincinnati,,,,
73,,76.0,Mitch Raifsnider,OL,6-8,280.0,R-So.,"Castalia, Ohio / Margaretta",Cincinnati,Army,,,
74,,77.0,Jonathan Harder,OL,6-5,315.0,R-Fr.,"Delaware, Ohio / Olentangy Berlin",Cincinnati,,,,
75,,79.0,Ethan Green,OT,6-7,300.0,R-Fr.,"Fremont, Ohio / Fremont Ross",Cincinnati,,,,
76,,80.0,Chris Scott,WR,6-2,205.0,R-Jr.,"Columbus, Ohio / Pickerington North",Cincinnati,,,,
77,,82.0,Michael McCalmont,TE,6-3,240.0,R-Jr.,"Mason, Ohio / Mason",Cincinnati,,,,
78,,83.0,Ty Perkins,WR,6-3,195.0,Fr.,"Ironton, Ohio / Ironton",Cincinnati,,,,
79,,84.0,Sterling Berkhalter,WR,6-4,198.0,Jr.,"Cincinnati, Ohio / Georgia Prep Academy (Snellville, Ga.)",Cincinnati,North Carolina A&T,,,
80,,85.0,Triston O'Brien,LS,6-3,240.0,R-So.,"Jefferson, Ohio / NDCL",Cincinnati,,,,
81,,85.0,Jiair Thomas,WR,6-4,210.0,R-Sr.,"Cincinnati, Ohio / Winton Woods",Cincinnati,,,,
82,,86.0,Lesley Andoh,WR,6-0,188.0,R-Fr.,"Dublin, Ohio / Scioto",Cincinnati,,,,
83,,88.0,Payten Singletary,TE,6-4,235.0,R-Jr.,"Thomasville, Ga. / Thomasville",Cincinnati,,,,
84,,89.0,Jesse Meyer,TE,6-4,240.0,R-Fr.,"Coldwater, Ohio / Coldwater HS",Cincinnati,,,,
85,,91.0,Drew Logan,DL,6-4,270.0,R-Fr.,"North Canton, Ohio / Hoover",Cincinnati,,,,
86,,92.0,Derrick Shepard,DT,6-3,305.0,R-Fr.,"Dayton, Ohio / Archbishop Alter",Cincinnati,,,,
87,,95.0,Justin Wodtly,DL,6-3,275.0,R-Jr.,"Cleveland, Ohio / Cleveland Hts.",Cincinnati,,,,
88,,96.0,Dominique Perry,DL,6-2,288.0,R-Jr.,"Germantown, Md. / Northwest",Cincinnati,,,,
89,,96.0,Cayson Pfeiffer,LS,6-0,220.0,R-Sr.,"Columbus, Ohio / Dublin Scioto",Cincinnati,,,,
90,,97.0,Eric Phillips,DL,6-3,257.0,R-Sr.,"Cincinnati, Ohio / Colerain",Cincinnati,,,,
91,,99.0,Rob Jackson,DL,6-5,278.0,R-So.,"Philadelphia, Pa. / Archbishop Wood",Cincinnati,,,,
0,,,,,,,,,Cincinnati,,,Scott Satterfield,Head Coach
1,,,,,,,,,Cincinnati,,,Bryan Brown,Associate Head Coach / Defensive Coordinator
2,,,,,,,,,Cincinnati,,,Brad Glenn,Offensive Coordinator / Wide Receivers
3,,,,,,,,,Cincinnati,,,Kerry Coombs,Special Teams Coordinator / Cornerbacks
4,,,,,,,,,Cincinnati,,,Nate Fuqua,Co-Defensive Coordinator / Outside Linebackers
5,,,,,,,,,Cincinnati,,,Cortney Braswell,Assistant Coach / Inside Linebackers
6,,,,,,,,,Cincinnati,,,Nic Cardwell,Assistant Coach / Offensive Line
7,,,,,,,,,Cincinnati,,,Walter Stewart,Assistant Coach / Defensive Line
8,,,,,,,,,Cincinnati,,,De'Rail Sims,Assistant Coach / Running Backs
9,,,,,,,,,Cincinnati,,,Josh Stepp,Assistant Coach / Tight Ends
