,Statistic,#,Full Name,C,Yr.,Pos.,Ht.,Wt.,Hometown / High School,Image,Name,Title
110,,82.0,Veshe Daniyan,,Sr.,WR,6-1,195.0,"Balch Springs, Tx / North Mesquite (USMAPS)",,,
111,,83.0,Matthew Gibbons,,So.,P,6-0,175.0,"San Antonio, TX / Louis D. Brandeis High",,,
112,,83.0,Lucas Scott,,Jr.,TE,6-3,275.0,"Binghamton, N.Y. / Chenango Forks",,,
113,,84.0,Cam Schurr,,Jr.,WR,6-1,193.0,"Alpharetta, Ga / South Forsyth",,,
114,,85.0,David Crossan,,Jr.,TE,6-3,272.0,"Clearwater, Fl / Calvary Christian (USMAPS)",,,
115,,86.0,TJ McCormack,,So.,DL,6-1,265.0,"Wanaque, N.J. / Lakeland Regional (USMAPS)",,,
116,,86.0,Will Montesi,,Jr.,TE,6-2,232.0,"Greenwich, Ct / Greenwich",,,
117,,87.0,Casey Reynolds,,Jr.,WR,6-2,200.0,"Cold Spring Harbor, N.Y. / Deerfield Academy",,,
118,,88.0,Isaiah Lige,,Jr.,WR,6-0,200.0,"Atlanta, Ga. / Westlake HS",,,
119,,88.0,Joshua Lingenfelter,,Sr.,TE,6-3,240.0,"Panama City, Fl / A Crawford Mosley (USMAPS)",,,
120,,89.0,Blane Cleaver,,Jr.,TE,6-2,233.0,"Berwick, Pa / Berwick Area",,,
121,,90.0,Billy Boehlke,,Sr.,P,6-0,205.0,"Cleveland, Oh / Benedictine (USMAPS)",,,
122,,90.0,Malik James,,Jr.,DL,6-1,300.0,"Richmond, Va. / Benedictine College Prep. (USMAPS)",,,
123,,91.0,Trey Sofia,,Jr.,DL,6-6,250.0,"Austin, Tx / Lake Travis",,,
124,,94.0,Cole Talley,,Sr.,K,6-0,205.0,"Rockwall, Tx / Rockwall (USMAPS)",,,
125,,94.0,Jacob Tuioti,,So.,DL,6-1,273.0,"Long Beach, CA / Long Beach Poly (USMAPS)",,,
126,,95.0,Kyle Lewis,,Jr.,DL,6-3,260.0,"Scottsdale, Az / Horizon (USMAPS)",,,
127,,96.0,Trey Gronotte,,Jr.,K,6-0,180.0,"Crestview Hills, Ky / Covington Catholic",,,
128,,96.0,Darius Richardson,,Sr.,DL,6-2,290.0,"Dover, FL / Tampa Bay Tech (USMAPS)",,,
129,,98.0,Tyler Johnson,,Jr.,K,-,,"Mount Juliet, Tenn. / Mount Juliet",,,
130,,98.0,Dre Miller,,Jr.,DL,6-3,270.0,"Savannah, GA / Savannah Country Day (USMAPS)",,,
131,,99.0,Chris Frey,,Sr.,DL,6-5,278.0,"Canyon Lake, Ca / Temescal Canyon (USMAPS)",,,
132,,99.0,Matthew Rhodes,,Jr.,P,6-5,212.0,"Auburn, Al / Auburn",,,
0,,,,,,,,,,,Jeff Monken,Head Coach
1,,,,,,,,,,,Drew Thatcher,Offensive Coordinator
2,,,,,,,,,,,Nate Woody,Defensive Coordinator
3,,,,,,,,,,,Sean Saturnio,Special Teams Coordinator
4,,,,,,,,,,,John Loose,Assistant Head Coach / Outside Linebackers
5,,,,,,,,,,,Matt Drinkall,Co-Offensive Coordinator/Tight Ends
6,,,,,,,,,,,Sean Cronin,Defensive Line
7,,,,,,,,,,,Daryl Dixon,Defensive Pass Game Coordinator/Cornerbacks
8,,,,,,,,,,,Darren Paige,Running Backs
9,,,,,,,,,,,Blake Powers,Tight Ends
10,,,,,,,,,,,Aaron Smith,Wide Receivers
11,,,,,,,,,,,Danny Verpaele,Safeties
12,,,,,,,,,,,Mike Viti,Assistant Head Coach for Offense/Offensive Line
13,,,,,,,,,,,Justin Weaver,Inside Linebackers
14,,,,,,,,,,,Cody Worley,Run Game Coordinator/Quarterbacks
15,,,,,,,,,,,Collin Shank,Defensive Quality Control
16,,,,,,,,,,,Tristan Yeomans,Offensive Quality Control
17,,,,,,,,,,,Conor Hughes,Head Football Strength and Conditioning Coach
18,,,,,,,,,,,Jacob Riedel,Assistant Football Strength & Conditioning Coach
19,,,,,,,,,,,Tim Ismail,Assistant Football Strength & Conditioning Coach
20,,,,,,,,,,,Anthony McArthur,Assistant Football Strength & Conditioning Coach
21,,,,,,,,,,,Brad Bielaniec,Assistant Football Strength & Conditioning Coach
22,,,,,,,,,,,Clayton Kendrick-Holmes,Chief of Staff / Football Operations
23,,,,,,,,,,,Ayden Opfer,Director of Football Operations
24,,,,,,,,,,,Tucker Waugh,Executive Director of Player Personnel
25,,,,,,,,,,,CPT John Voit,Director of Player Development
26,,,,,,,,,,,Eddie Hernon,Director of Player Personnel
27,,,,,,,,,,,Rebecca Perez,Director of Football Recruiting
28,,,,,,,,,,,Jimmy Noel,Director of On-Campus Recruiting
29,,,,,,,,,,,Kamryn Rodriguez,On-Campus Recruiting Coordinator
30,,,,,,,,,,,MAJ Zach Peterson,Admission Support Officer
31,,,,,,,,,,,Jen Guzman,Executive Assistant to Head Coach
32,,,,,,,,,,,Chris Jann,Director of Video Operations
33,,,,,,,,,,,Caedmon Storm,Assistant Director of Video Operations
0,,,,,,,,,,,"Dan McCarthy, PhD",Sport Administrator
1,,,,,,,,,,,Eric Szczepinski,Director of Football Communications
