,Statistic,No.,Name,Pos.,Ht.,Wt.,Yr.,Hometown (Prev School),Current School Name,Previous School,Image,Title
51,,53.0,Joseph Black,OL,5-11,278.0,Fr.,"Buffalo, N.Y. / St. Francis",Albany,,,
52,,54.0,Brock Boyer,DL,5-11,240.0,Fr.,"Allentown, Pa. / Parkland",Albany,,,
53,,55.0,Chris Walsh,OL,6-3,326.0,Fr.,"Wilmington, Mass. / Austin Prep",Albany,,,
54,,56.0,Stephen Demeo,OL,5-11,263.0,Fr.,"Pittsford, N.Y. / Pittsford Sutherland",Albany,,,
55,,58.0,Joseph Greaney,DL,6-3,277.0,So.,"Bedford, Mass. / Arlington Catholic",Albany,,,
56,,59.0,Kenneth Santos,OL,6-2,280.0,Fr.,"Mamaroneck, N.Y. / Mamaroneck",Albany,,,
57,,64.0,Nathaniel Pierre,OL,6-2,303.0,Sr.,"Brooklyn, N.Y. / Christ the King",Albany,Southern Illinois,,
58,,65.0,Ozzie Hutchinson,OL,6-4,308.0,So.,"Poughkeepsie, N.Y. / Soackenkill",Albany,,,
59,,67.0,Emmit Harris,OL,6-4,291.0,Fr.,"Albany, N.Y. / Shaker",Albany,,,
60,,68.0,Matt Cordero,OL,6-2,312.0,Fr.,"Brooklyn, N.Y. / Saint Joseph by the Sea",Albany,,,
61,,71.0,Josh Gaffney,OL,6-3,319.0,Fr.,"York, Pa. / Central York",Albany,,,
62,,72.0,Will Marotta,OL,6-4,324.0,So.,"Collegeville, Pa. / Perkiomen Valley",Albany,,,
63,,73.0,Scott Houseman,OL,6-2,311.0,Jr.,"Jacob's Creek, Pa. / Yough",Albany,Lackawanna College,,
64,,74.0,Matt Aulicino,OL,6-5,218.0,Fr.,"Pittsburgh, Pa. / Central Catholic",Albany,,,
65,,75.0,Kevin Singer,OL,6-4,286.0,So.,"Littleton, Colo. / East Coast Prep",Albany,,,
66,,77.0,Nolan Latulippe,OL,6-7,279.0,Fr.,"Ottawa, ON / Gaulois De Gaitineau",Albany,,,
67,,78.0,Mike Gecik,OL,6-3,296.0,Fr.,"Milford, Pa. / Delaware Valley",Albany,,,
