,Statistic,#,Name,CL.,Pos.,Ht.,Wt.,Hometown,Current School Name,Previous School,Image,Title
65,,71.0,Brandon Hardy 1,Jr.,OL,6-4,295.0,"Vanceboro, N.C.",Hampton,Louisburg JC,,
66,,72.0,Ademola Owudunni 0,Fr.,OL,6-8,315.0,"Newark, New Jersey",Hampton,Malcolm X Shabazz HS,,
67,,73.0,DeVaughn Orr 1,So.,OL,6-6,290.0,"Suffolk, Va.",Hampton,King's Fork HS,,
68,,74.0,Quintrell Coates 1,R-Fr.,OL,6-8,315.0,"Anahuac, Tex.",Hampton,Anahuac HS,,
69,,76.0,Quinton Ragland 3,R-Jr.,OL,6-5,310.0,"Mineral, VA",Hampton,Louisa County HS,,
70,,77.0,Tyler McDuffie 1,R-Fr.,OL,6-8,315.0,"Danville, Va.",Hampton,George Washington HS,,
71,,78.0,Erik Walker 3,R-So.,OL,6-5,305.0,"Gibsonville, NC",Hampton,E. Guilford HS,,
72,,80.0,Jordan Wimberly 1,R-Fr.,WR,5-10,180.0,"Paterson, NJ",Hampton,Hackensack HS,,
73,,81.0,Jadakis Bonds 4,Sr.,WR,6-4,200.0,"Williamston, NC",Hampton,Riverside HS,,
74,,82.0,Chad Booker 3,R-So.,WR,6-1,190.0,"Philadelphia, PA",Hampton,Roman Catholic HS,,
75,,84.0,Rylan McLaurin 1,R-So.,WR,5-11,180.0,"Charlotte, N.C.",Hampton,Presbyterian College,,
76,,86.0,Abe Uqdah 0,Fr.,WR,6-4,190.0,"Midlothian, VA",Hampton,Clover Hill HS,,
77,,87.0,Jarrett Powell 5,Gr.,TE,6-2,245.0,"Woodbridge, VA",Hampton,CD Hylton HS,,
78,,88.0,Evan King 0,Fr.,TE,6-5,245.0,Tinley Park HS,Hampton,Oak Forest HS,,
79,,89.0,TK Paisant 1,R-Fr.,TE,6-5,265.0,"Carrboro, N.C.",Hampton,Carrboro HS,,
80,,91.0,Jay'Ree Hardy 3,R-So.,DL,6-2,310.0,"Suffolk, VA",Hampton,King's Fork HS,,
81,,92.0,D'Andre Satchell 1,R-Jr.,DL,6-4,280.0,"Rockville Centre, N.Y.",Hampton,Monroe JC,,
82,,94.0,Rashawn Washington 1,R-Fr.,DL,6-3,280.0,"Norfolk, Va.",Hampton,Nansemond River HS,,
83,,95.0,Rodrick Dorsey 1,R-Fr.,DL,6-2,285.0,"Andrews, S.C.",Hampton,Andrews HS,,
84,,96.0,Ohmante Jenkins 4,Sr.,DL,6-2,290.0,"Winchester, NY",Hampton,George Rodgers Clark HS,,
85,,97.0,JehDon Jenkins 1,So.,LB,6-3,255.0,"Lexington, Ky.",Hampton,Georgia Prep,,
86,,99.0,Javen Johnson 0,Fr.,DL,6-3,300.0,"Courtland, VA",Hampton,Southampton HS,,
0,,,Robert Prunty,,,,,,Hampton,,,Head Football Coach
1,,,Brian White,,,,,,Hampton,,,Associate Head Coach/Offensive Line Coach/Recruiting Coordinator
2,,,Zack Patterson,,,,,,Hampton,,,Offensive Coordinator
3,,,Chris Cosh,,,,,,Hampton,,,Defensive Coordinator
4,,,Todd McComb,,,,,,Hampton,,,Co-Defensive Coordinator
5,,,Brandon Williams,,,,,,Hampton,,,Outside Linebackers/Running Game Coordinator
6,,,Trent Boykin,,,,,,Hampton,,,Running Backs Coach/Offensive Special Teams Coordinator
7,,,Ollie Taylor,,,,,,Hampton,,,Inside WR/Tight Ends Coach
8,,,Nick Newsome,,,,,,Hampton,,,Safeties Coach/Defensive Special Teams Coordinator
9,,,Kentwan Balmer,,,,,,Hampton,,,Defensive Line Coach
10,,,Randy Moore,,,,,,Hampton,,,Head Football Strength & Conditioning Coach
11,,,John Andersson,,,,,,Hampton,,,Director of Football Operations/Video Coordinator
12,,,Chris Anderson,,,,,,Hampton,,,Wide Receivers Coach
