,Statistic,#,Full Name,Pos,Ht.,Academic Year,Hometown / High School,Image,Name,Title
61,,81.0,Randy Flavel,TE,6-4,R-Fr.,"Blanding, Utah / San Juan HS",,,
62,,81.0,Peter Oney,LS,6-0,R-Fr.,"Simi Valley, Calif. / Chaminade College Prep",,,
63,,81.0,Mason Paulo,WR,6-2,R-So.,"West Jordan, Utah / Jordan HS",,,
64,,83.0,Daniel Thomason,WR,6-3,So.,"Sandy, Utah / Alta HS",,,
65,,84.0,AJ Simpson-Battle,WR,6-3,Jr.,"Fresno, Calif. / Central HS",,,
66,,85.0,Jay McEuen,TE,6-4,Jr.,"Chandler, Ariz. / Chandler HS",,,
67,,86.0,Jayton Tanibe,WR,5-9,R-Fr.,"Washington, Utah / Crimson Cliffs HS",,,
68,,87.0,Damani Wilks,WR,6-1,Jr.,"Las Vegas, Nev. / Del Sol Academy",,,
69,,88.0,Nalu Kitashima,WR,5-10,R-Fr.,"Waikele, Hawai'i / Wasatch (UT) HS",,,
70,,90.0,Kanoah Tanuvasa,DL,5-11,R-Fr.,"Chino Hills, Calif. / Mission Viejo HS",,,
71,,91.0,Laytan Tanuvasa,DL,6-1,R-So.,"Portland, Ore. / Tigard HS",,,
72,,92.0,Brandy Okeke,DL,6-3,R-So.,"Aurora, Colo. / Grand View HS",,,
73,,98.0,William Kulihaapai-Alovao,DL,6-3,R-Fr.,"Kapolei, Hawai'i / Kapolei HS",,,
74,,99.0,TJ Talamoni-Marcks,DL,6-4,So.,"Lakeport, Calif. / Clear Lake HS",,,
0,,,,,,,,,Paul Peterson,Head Coach
1,,,,,,,,,Mike Fassel,Assistant Head Coach / Special Teams
2,,,,,,,,,John Hughes,Co-Offensive Coordinator / Offensive Line Coach
3,,,,,,,,,Peter Tuitupou,Co-Offensive Coordinator / Wide Receivers Coach
4,,,,,,,,,Shane Hunter,Co-Defensive Coordinator/Safeties Coach
5,,,,,,,,,Misi Tupe,Co-Defensive Coordinator/Linebackers Coach
6,,,,,,,,,Jamison Clark,Running Backs Coach / Recruiting Coordinator
7,,,,,,,,,James Cowser,Defensive Line Coach
8,,,,,,,,,J.B. Hall Jr.,Defensive Pass Game Coordinator/Cornerbacks Coach
9,,,,,,,,,Billy Ray Stutzmann,Passing Game Coordinator / Quarterbacks Coach
10,,,,,,,,,Craig Timmons,Head Strength & Conditioning Coach
0,,,,,,,,,Carissa Martinez '19,Director of Football Operations and Player Personnel
1,,,,,,,,,Andrew Kendall,Assistant Football Operations Director
2,,,,,,,,,Sheldon Prout,Equipment Manager and Operations Assistant
3,,,,,,,,,Josh Fullmer,Athletic Trainer - Football
4,,,,,,,,,Alexa Martin,Athletic Trainer - Football
5,,,,,,,,,Erin Harold,Athletic Trainer - Football
6,,,,,,,,,Ron Chamberlain,Ph.D. Director of Counseling and Sports Psychology
