,Statistic,No.,Name,Cl.,Pos.,Ht.,Wt.,Hometown / High School,Current School Name,Previous School,Image,Title
51,,28.0,Quinn Moody,Fy.,WR,5-11,175.0,"Doylestown, Pa. / Central Bucks East",Sacred Heart,,,
52,,29.0,Tyler Basti,So.,RB,5-9,195.0,"East Haven, Conn. / Notre Dame West Haven",Sacred Heart,,,
53,,29.0,Nick Dematties,So.,WR,6-0,190.0,"Litchfield, Conn. / Canterbury School",Sacred Heart,,,
54,,30.0,Trey Eberhart III,So.,RB,5-9,220.0,"Beaverton, Ore. / Valley Catholic",Sacred Heart,,,
55,,30.0,Ryan Montalvo,Sr.,LB,5-11,190.0,"Pawling, N.Y. / Trinity Pawling Prep",Sacred Heart,,,
56,,31.0,Ricky Lancaster,Jr.,WR,-,165.0,"Jersey City, NJ / Lincoln",Sacred Heart,,,
57,,31.0,Sam Renzi,Jr.,K,6-,180.0,"Alexandria, Va. / Mount Vernon",Sacred Heart,,,
58,,32.0,Will Fox,Jr.,K,5-9,130.0,"New Rochelle, NY / Iona Prep",Sacred Heart,,,
59,,33.0,Chad Antico,Sr.,WR,6-2,210.0,"Bridgeport, Conn. / Rye",Sacred Heart,,,
60,,33.0,Ernest Howard,Jr.,LB,6-1,210.0,"Absecon, N.J. / Pleasantville",Sacred Heart,,,
61,,34.0,Rayshad Wallace,Sr.,DL,6-1,265.0,"Philadelphia, Pa. / Fork Union Military / St. Joseph's Prep",Sacred Heart,,,
62,,35.0,Zach Hrubiec,So.,TE,6-0,240.0,"Berlin, Conn. / Cheshire Academy",Sacred Heart,,,
63,,35.0,Andrew Ryczek,Gr.,P,6-3,188.0,"Round Lake Beach, Ill. / Grant",Sacred Heart,Olivet Nazarene,,
64,,36.0,Mike Argenziano,Fy.,P,5-10,180.0,"West Sayville, NY / Sayville",Sacred Heart,,,
65,,36.0,Jason Shragher,Jr.,DB,5-11,190.0,"Holland, Pa. / Council Rock South",Sacred Heart,,,
66,,37.0,Micah Brantley,Sr.,DB,6-1,215.0,"Bridgeport, Conn. / Notre Dame",Sacred Heart,,,
67,,38.0,Theo Lanham,Fy.,LB,6-0,190.0,"Stratford, Conn. / Bunnell",Sacred Heart,,,
68,,39.0,Spencer Burke,Jr.,DL,6-2,210.0,"Ramsey, N.J. / St. Joseph Regional",Sacred Heart,,,
69,,40.0,Matt Coladonato,So.,RB,5-7,173.0,"Paoli, Pa. / Bishop Shanahan",Sacred Heart,,,
70,,40.0,Carlex Tiemeni,Jr.,LB,5-11,210.0,"Fairfax, Va. / Chantilly",Sacred Heart,,,
71,,41.0,Treyson Colon,Sr.,WR,6-3,185.0,"Mamaroneck, N.Y. / Mamaroneck HS",Sacred Heart,,,
72,,41.0,Jake Sokol,So.,LB,5-11,195.0,"Hopkinton, Mass. / Hopkinton",Sacred Heart,,,
73,,42.0,DeAndre Byrd,Gr.,LB,6-1,210.0,"Lawrenceville, Ga. / Deerfield Academy",Sacred Heart,,,
74,,42.0,Zach Hathaway,Fy.,DB,6-1,190.0,"Southport, Conn. / Fairfield Ludlowe",Sacred Heart,,,
75,,43.0,Nick Verbitsky,Fy.,LB,6-0,210.0,"Ridgefield, Conn / Ridgefield",Sacred Heart,,,
76,,43.0,Bailey Williams,Fy.,LS,5-11,185.0,"New Canaan, Conn. / New Canaan",Sacred Heart,,,
77,,44.0,Jonathan Majoub,Fy.,DB,6-1,190.0,"Radnor, Pa. / Archbishop John Carroll",Sacred Heart,,,
78,,44.0,Kevin Peprah,Gr.,DE,6-2,235.0,"Woodbridge, Va. / Woodbridge",Sacred Heart,,,
79,,45.0,Davee Silas,Jr.,DB,6-,190.0,"West Haven, Conn. / St. Joseph",Sacred Heart,,,
80,,46.0,Luca Ferreira,So.,DB,5-10,190.0,"Wayland, Mass. / Williston Northampton",Sacred Heart,,,
81,,46.0,Jalen Gopie,Jr.,DL,6-,220.0,"Waterbury, Conn. / Water Career Academy",Sacred Heart,,,
82,,47.0,Tyreke Brown,Sr.,LB,6-1,220.0,"Carneys Point, N.J. / Penns Grove HS",Sacred Heart,,,
83,,47.0,Jake Jacobson,Fy.,P,6-2,183.0,"Redbank, NJ / Redbank Catholic",Sacred Heart,,,
84,,48.0,Gurjot Singh,Jr.,DB,5-10,165.0,"Jamaica, N.Y. / Brooklyn Technical",Sacred Heart,,,
85,,49.0,Ryan Parris,Sr.,LB,5-11,200.0,"Medford, N.J. / The Hun School",Sacred Heart,,,
86,,50.0,Ethan Rodriguez,So.,LB,6-1,220.0,"West New York, NJ / St. Peter’s Prep",Sacred Heart,,,
87,,51.0,Connor Kazanjian,Jr.,DL,6-,225.0,"Glen Rock, N.J. / Glen Rock",Sacred Heart,,,
88,,51.0,Alex Tsoumakas,Fy.,LB,6-1,235.0,"Shrewsbury, Mass. / St. John’s",Sacred Heart,,,
89,,52.0,Eric Cotton,So.,LB,5-11,210.0,"East Stroudsburg, Pa. / Wilbraham Monson Academy",Sacred Heart,,,
90,,54.0,Matt Amato,Sr.,LB,5-10,220.0,"Paramus, N.J. / Paramus",Sacred Heart,,,
91,,54.0,Gavin Susfolk,Fy.,OL,6-5,245.0,"Akron, NY / Canisius",Sacred Heart,,,
92,,55.0,Jack McAnally,So.,LB,6-2,210.0,"West Chester, Pa. / West Chester East",Sacred Heart,,,
93,,55.0,Chase Shallow,Fy.,OL,6-0,270.0,"Sudbury, Mass. / Brighton Academy",Sacred Heart,,,
94,,56.0,Ali Kabli,Fy.,OL,6-2,195.0,"Pawtucket, RI / Tolman",Sacred Heart,,,
95,,56.0,Brendan Whitehead,Gr.,DE,6-1,225.0,"Glen Cove, N.Y. / Kellenberg Memorial",Sacred Heart,,,
96,,57.0,Brian McNamara,Sr.,LS,5-9,190.0,"West Caldwell, N.J. / James Caldwell",Sacred Heart,,,
97,,57.0,Bobby Mosback,So.,LB,5-11,190.0,"Bristol, Conn. / Bristol Eastern",Sacred Heart,,,
98,,58.0,Onarjae Bonhometre,Jr.,DL,6-,225.0,"Staten Island, N.Y. / Curtis",Sacred Heart,,,
99,,58.0,Jake Walsh,So.,LS,5-11,195.0,"Nutley, NJ / Nutley",Sacred Heart,,,
100,,59.0,Peter Schanne,Fy.,LB,6-3,235.0,"Fairfield, Conn. / IMG Academy",Sacred Heart,,,
101,,59.0,Jack Smith,So.,LB,6-0,220.0,"York, Pa. / Central York",Sacred Heart,,,
102,,60.0,Bayo Gbowu,Jr.,DL,6-,210.0,"Oceanside, N.Y. / Oceanside",Sacred Heart,,,
103,,61.0,Gianni Principato,So.,LB,6-4,240.0,"Edison, NJ / St. Thomas Aquinas",Sacred Heart,,,
104,,62.0,Evan Scribner,So.,OL,6-3,280.0,"Nutley, NJ / St. Peter's Prep",Sacred Heart,,,
