,Statistic,#,Full Name,Pos.,Ht.,Wt.,Cl.,Hometown/High School,Current School Name,Previous School,Image,Name,Title
48,,45.0,Tyler Wilms,TE,6-1,225.0,So.,"Lemont, Ill. / Lemont HS",Murray State,,,,
49,,46.0,Emmanuel Cheatham,DB,5-9,165.0,So.,"Hopkinsville, Ky. / Hopkinsville HS",Murray State,,,,
50,,46.0,Sam Williams,DL,6-3,230.0,Jr.,"Pebroke Pines, Fla. / Calvary Christian Academy",Murray State,Pittsburgh,,,
51,,47.0,Trey Jefferson,DB,6-3,197.0,So.,"Hopkinsivlle, Ky. / Hopkinsville HS",Murray State,,,,
52,,48.0,Ben Williamson,LS,5-9,227.0,R-So.,"Dalton, Ga. / Christian Heritage HS",Murray State,Shorter,,,
53,,49.0,Trace Ruckman,DB,6-1,200.0,Fr.,"Wildwood, MO / Eureka HS",Murray State,,,,
54,,50.0,Tyler Boone,ILB,5-11,216.0,R-So.,"Marion, Ky. / Crittenden County HS",Murray State,,,,
55,,53.0,Camden Robbins,OLB,6-1,191.0,So.,"Fairfield, Ill. / Fairfield HS",Murray State,,,,
56,,54.0,Amario Wilson,DL,6-3,240.0,So.,"Bowling Green, Ky. / Warren Central HS",Murray State,,,,
57,,55.0,Matthew Baker,OLB,6-4,230.0,R-Fr.,"Rochester, Ill. / Rochester HS",Murray State,,,,
58,,56.0,Andrew Long,DL,6-2,260.0,R-Jr.,"Lexington, Ky. / Lexington Christian Academy",Murray State,,,,
59,,58.0,Cade Shupperd,OLB,6-1,237.0,R-Jr.,"Brownsburg, Ind. / Brownsburg HS",Murray State,,,,
60,,60.0,Tynan Tucker,ILB,5-10,190.0,So.,"Georgetown, Del. / Sussex Tech HS",Murray State,,,,
61,,62.0,Blake Moody,OL,6-3,300.0,R-Jr.,"Madisonville, Ky. / Madisonville North Hopkins HS",Murray State,,,,
62,,65.0,Devin Tingle,OL,6-3,299.0,So.,"Moundville, Ala. / Hale County HS",Murray State,,,,
63,,66.0,Jerome Logan,DL,6-2,328.0,So.,"St. Louis, Mo. / Christian Brothers College HS",Murray State,,,,
64,,67.0,Jacob Frye,OL,6-6,323.0,R-Sr.,"Murfreesboro, Tenn. / Siegel HS",Murray State,,,,
65,,68.0,Gaige Jacobs,OL,6-3,299.0,R-Fr.,"Murray, Ky. / Murray HS",Murray State,,,,
66,,69.0,Cole Williamson,OL,6-5,333.0,R-Sr.,"Carrollton, Ga. / Carrollton HS",Murray State,,,,
67,,71.0,Ashton Flinn,OL,6-4,274.0,So.,"Jackson, Mo. / Jackson HS",Murray State,,,,
68,,75.0,Rodreques Boller,OL,6-3,315.0,R-So.,"Louisville, Ky. / DuPont Manual HS",Murray State,,,,
69,,76.0,Josh Robinson,OL,6-3,264.0,So.,"Greenbrier, Ark. / Greenbrier HS",Murray State,,,,
70,,77.0,Henry Kofowo,OL,6-2,368.0,R-Fr.,"Stone Mountain, Ga. / Stone Mountain HS",Murray State,,,,
71,,78.0,DJ Jones,OL,6-5,338.0,R-Jr.,"Jackson, Ala. / Jackson HS",Murray State,,,,
72,,79.0,Desmond Kelly,OL,6-3,301.0,R-Fr.,"Chicago, Ill. / Thornton Township HS",Murray State,Norfolk St.,,,
73,,80.0,Kade Neely,WR,6-3,210.0,So.,"Mayfield, Ky. / Mayfield HS",Murray State,,,,
74,,81.0,Brian Thomas,WR,5-10,165.0,So.,"Paducah, Ky. / Paducah Tilghman HS",Murray State,,,,
