,Statistic,#,Full Name,Pos.,Eligibility,Ht.,Wt.,Hometown / High School,Current School Name,Previous School,Image,Name,Title
0,,27.0,Danny Abraham,LB,Gr.,5-11,220.0,"Randolph, Mass. / Boston College HS",Villanova,Harvard,,,
1,,74.0,Temi Ajirotutu,OL,So.,6-4,310.0,"Queens, N.Y. / Eagle Academy",Villanova,,,,
2,,15.0,Jaquan Allen,WR,Jr.,6-1,205.0,"East Hartford, Conn. / East Hartford",Villanova,,,,
3,,1.0,TD Ayo-Durojaiye,RB,Sr.,5-11,210.0,"Damascus, Md. / Damascus",Villanova,,,,
4,,28.0,DeeWil Barlee,RB,Sr.,5-8,205.0,"Upper Darby, Pa. / Episcopal",Villanova,,,,
5,,93.0,William Bartel,K,Jr.,5-9,185.0,"Providence, R.I. / La Salle Academy",Villanova,,,,
6,,35.0,Brendan Bell,LB,So.,6-2,225.0,"Basking Ridge, N.J. / Ridge",Villanova,,,,
7,,43.0,Nino Betances,DB,Fr.,5-10,175.0,"Brooklyn, N.Y. / Eagle Academy II",Villanova,,,,
8,,77.0,Erik Bockisch,OL,R-Fr.,6-4,290.0,Wiesengrund Germany / Salisbury School (Conn.),Villanova,,,,
9,,81.0,Mitchell Bothwell,TE,So.,6-5,240.0,"Fort Worth, Texas / All Saints Episcopal School",Villanova,,,,
10,,10.0,Dez Boykin,WR,Gr.,5-9,195.0,"Whitehall, Pa. / Whitehall",Villanova,,,,
11,,86.0,Tim Brown,WR,Fr.,5-10,180.0,"Philadelphia, Pa. / Bishop McDevitt",Villanova,,,,
12,,13.0,Ethan Carr,WR,R-Fr.,6-2,200.0,"Harrison City, Pa. / Penn-Trafford",Villanova,,,,
13,,22.0,Matt Colantuono,RB,So.,5-9,175.0,"Warren, N.J. / Seton Hall Prep",Villanova,,,,
14,,73.0,Michael Corbi,OL,Gr.,6-3,335.0,"Annapolis, Md. / Mount Saint Joseph",Villanova,,,,
15,,37.0,Hunter Cusimano,DB,Sr.,6-1,205.0,"Greenwich, Conn. / Greenwich",Villanova,,,,
16,,83.0,Luke Daly,WR,Fr.,6-1,180.0,"Rye, N.Y. / Trinity-Pawling",Villanova,,,,
17,,15.0,Dan Damico,LB,Gr.,6-0,240.0,"Manlius, N.Y. / Christian Brothers Academy",Villanova,UAlbany,,,
18,,48.0,Chris Dobrydney,WR,Fr.,5-10,180.0,"Fairfax, Va. / Woodson",Villanova,,,,
19,,65.0,Ian Erickson,OL,R-Fr.,6-6,325.0,"Atlanta, Ga. / Marist School",Villanova,,,,
20,,42.0,Timmy Furgeson,LB,So.,6-2,225.0,"Gaithersburg, Md. / Damascus",Villanova,,,,
21,,62.0,Colin Gamroth,OL,Gr.,6-4,305.0,"Mercer Island, Wash. / Seattle Prep",Villanova,,,,
22,,55.0,Bryce Ganious,DL,So.,6-2,280.0,"Houston, Texas / Second Baptist",Villanova,,,,
23,,87.0,Charlie Gilroy,TE,Sr.,6-5,255.0,"Wilmette, Ill. / Loyola Academy",Villanova,,,,
24,,49.0,Julian Glantz,RB,Fr.,6-0,185.0,"Scarsdale, N.Y. / Scarsdale",Villanova,,,,
25,,3.0,Elijah Glover,DB,Jr.,6-1,205.0,"Pleasantville, N.J. / Pleasantville",Villanova,,,,
26,,7.0,Jalen Goodman,DB,Jr.,6-0,200.0,"Narberth, Pa. / Lower Merion",Villanova,,,,
27,,90.0,Jake Green,DL,So.,6-0,285.0,"Ashland, Pa. / North Schuylkill",Villanova,,,,
28,,31.0,Shane Hartzell,LB,R-Fr.,6-0,225.0,"Perkasie, Pa. / Pennridge",Villanova,,,,
29,,11.0,Jaaron Hayek,WR,Sr.,6-1,195.0,"Wayne, N.J. / Wayne Hills",Villanova,,,,
30,,80.0,Nathaniel Hill,WR,Fr.,6-3,205.0,"Dallas, Texas / Parish Episcopal",Villanova,,,,
31,,91.0,Ayden Howard,DL,So.,6-2,290.0,"McKinney, Texas / Bishop Lynch",Villanova,,,,
32,,47.0,Jalen Howard,DL,Jr.,6-1,265.0,"Woodbridge, Va. / Woodbridge",Villanova,,,,
33,,70.0,Wyatt Hummel,OL,Jr.,6-6,315.0,"Dallas, Texas / Jesuit College Prep",Villanova,,,,
34,,33.0,Turner Inge,LB,Fr.,6-1,210.0,"Williamstown, N.J. / Williamstown",Villanova,,,,
35,,2.0,Jalen Jackson,RB,Gr.,5-9,220.0,"Richmond, Va. / Thomas Jefferson",Villanova,,,,
36,,88.0,Antonio Johnson,TE,R-Fr.,6-4,255.0,"Fort Lauderdale, Fla. / St. Thomas Aquinas",Villanova,,,,
37,,40.0,Colin Kennedy,LB,Fr.,6-2,225.0,"Fair Haven, N.J. / Rumson-Fair Haven",Villanova,,,,
38,,54.0,Mike Kennedy,DL,Fr.,6-1,290.0,"Greenville, S.C. / Southside Christian",Villanova,,,,
39,,44.0,Richie Kimmel,LB,So.,6-1,225.0,"Holmes, Pa. / Archbishop Carroll",Villanova,,,,
40,,51.0,Dale Law,LB,Fr.,6-1,215.0,"West Chester, Pa. / Malvern Prep",Villanova,,,,
41,,84.0,Daniel Lopes,WR,R-Fr.,6-2,200.0,"Cheshire, Conn. / Cheshire Academy",Villanova,,,,
42,,12.0,Tanner Maddocks,QB,Fr.,6-1,180.0,"Reading, Pa. / Fleetwood",Villanova,,,,
43,,29.0,Derek Marrero,DB,Fr.,5-10,180.0,"New Windsor, N.Y. / Cornwall Central",Villanova,,,,
44,,24.0,Devon Marshall,DB,Fr.,6-0,190.0,"Boston, Mass. / Catholic Memorial",Villanova,,,,
45,,61.0,Dan McManus,OL,Fr.,6-4,240.0,"Havertown, Pa. / Cardinal O'Hara",Villanova,,,,
46,,39.0,Matthew Mercurio,K,Gr.,6-1,175.0,"Salinas, Calif. / Palma",Villanova,San Jose State,,,
47,,26.0,Tyrell Mims,DB,So.,5-10,190.0,"Philadelphia, Pa. / Martin Luther King",Villanova,,,,
48,,8.0,Antonio Montero,LB,Gr.,6-0,225.0,"Eden Prairie, Minn. / Eden Prairie",Villanova,Rice,,,
49,,97.0,Daniel Mueller,P,Fr.,5-10,180.0,"Ephrata, Pa. / Lancaster Catholic",Villanova,,,,
50,,46.0,Jared Nelson,DL,Gr.,6-3,290.0,"Glastonbury, Conn. / Glastonbury",Villanova,,,,
51,,45.0,Jordan Nelson,LB,So.,6-2,225.0,"Palmerton, Pa. / Palmerton Area",Villanova,,,,
52,,17.0,Irene Ngabonziza,WR,R-Fr.,5-9,185.0,"Fort Worth, Texas / Nolan Catholic",Villanova,,,,
53,,95.0,Jake Northrop,DL,Sr.,6-3,270.0,"Fairfield, Conn. / Ludlowe",Villanova,,,,
54,,98.0,Obinna Nwobodo,DL,So.,6-3,305.0,"Wilmington, Del. / Delaware County Christian School",Villanova,,,,
55,,18.0,Matt O'Connor,QB,Sr.,6-2,205.0,"Narberth, Pa. / Lower Merion",Villanova,,,,
56,,23.0,Josh Oluremi,DB,Fr.,6-3,185.0,"Avenel, N.J. / Colonia",Villanova,,,,
57,,6.0,Ricky Ortega,QB,So.,5-10,185.0,"Coatesville, Pa. / Coatesville",Villanova,,,,
58,,66.0,James Petrovcik,OL,Sr.,6-3,295.0,"Westfield, N.J. / Seton Hall Prep",Villanova,,,,
59,,69.0,Jake Picard,OL,So.,6-3,290.0,"Hope, R.I. / Bishop Hendricken",Villanova,,,,
60,,14.0,Jonnie Pitman,DB,Gr.,5-11,185.0,"Temple Hills, Md. / Potomac",Villanova,Charlotte,,,
61,,34.0,Ethan Potter,DB,So.,5-11,205.0,"Chesapeake City, Md. / Caravel Academy",Villanova,,,,
62,,99.0,CJ Pressley,DL,Jr.,6-4,285.0,"Philadelphia, Pa. / West Catholic / Peddie School (N.J.)",Villanova,,,,
63,,19.0,Rayjuon Pringle,WR,Jr.,5-9,190.0,"Woodbridge, Va. / Hayfield Secondary School",Villanova,,,,
64,,38.0,John Rhodan,DB,So.,5-11,190.0,"Elkton, Md. / Elkton",Villanova,,,,
65,,41.0,Garrett Rogan,DB,Fr.,6-2,175.0,"Mercer Island, Wash. / Mercer Island",Villanova,,,,
66,,72.0,Jaden Rolling,OL,Jr.,6-5,320.0,"Brooklyn, N.Y. / Hudson Catholic",Villanova,,,,
67,,16.0,Jack Ryder,QB,Fr.,6-2,185.0,"Media, Pa. / Strath Haven/IMG Academy (Fla.)",Villanova,,,,
68,,82.0,Jaylan Sanchez,WR,Fr.,6-0,190.0,"North Bergen, N.J. / St. Peter's Prep/St. Thomas Aquinas (Fla.)",Villanova,,,,
69,,25.0,Christian Sapp,DB,So.,6-0,195.0,"East Stroudsburg, Pa. / East Stroudsburg South",Villanova,,,,
70,,5.0,Kshawn Schulters,DB,So.,6-1,190.0,"Roselle, N.J. / Saint Joseph",Villanova,,,,
71,,20.0,Josh Slay,LB,Jr.,5-11,220.0,"Douglasville, Ga. / Douglas County",Villanova,,,,
72,,21.0,Eli Smith,RB,Fr.,6-0,190.0,"Houston, Texas / Second Baptist",Villanova,,,,
73,,85.0,Jack Stanton,TE,Jr.,6-2,235.0,"Alpharetta, Ga. / Alpharetta",Villanova,,,,
74,,32.0,JR Strauss,LB,Fr.,6-3,220.0,"Reading, Pa. / Exeter Township",Villanova,,,,
75,,79.0,Nick Torres,OL,Sr.,6-6,320.0,"Whitestone, N.Y. / Salisbury School (Conn.)",Villanova,,,,
76,,9.0,Ty Trinh,DB,So.,5-11,200.0,"Owings Mills, Md. / Calvert Hall College HS",Villanova,,,,
77,,50.0,Adam Vanino,LS,Fr.,5-11,245.0,"West Lawn, Pa. / Wilson",Villanova,,,,
78,,75.0,Stephane Voltaire,OL,R-Fr.,6-5,295.0,"Marion, Mass. / Tabor Academy",Villanova,,,,
79,,60.0,Jacob Walton,OL,Sr.,6-3,290.0,"Lansdale, Pa. / North Penn",Villanova,,,,
80,,4.0,Connor Watkins,QB,Jr.,6-3,225.0,"Williamsport, Pa. / Loyalsock Twp.",Villanova,,,,
81,,0.0,Isas Waxter,DB,Sr.,6-2,215.0,"Newark, N.J. / Immaculate Conception",Villanova,,,,
82,,89.0,James Welde,TE,R-Fr.,6-4,240.0,"Havertown, Pa. / Monsignor Bonner",Villanova,,,,
83,,63.0,Quin Whalen,OL,Fr.,6-4,255.0,"Chalfont, Pa. / Central Bucks West",Villanova,,,,
84,,58.0,Ben Wheless,LS,So.,5-11,220.0,"Raleigh, N.C. / Cardinal Gibbons",Villanova,,,,
85,,0.0,Tyler Will,TE,Gr.,6-1,255.0,"Newtown Square, Pa. / Episcopal",Villanova,,,,
86,,36.0,Isaiah Wright,RB,Fr.,5-8,185.0,"Douglassville, Pa. / Malvern Prep",Villanova,,,,
87,,22.0,Jon Wyatt,DB,Fr.,6-2,175.0,"Somerset, N.J. / St. Thomas Aquinas",Villanova,,,,
88,,94.0,Garrett Zobel,DL,Sr.,6-2,295.0,"Hatfield, Pa. / La Salle",Villanova,,,,
0,,,,,,,,,Villanova,,,Mark Ferrante,Head Coach
1,,,,,,,,,Villanova,,,Chris Boden,Assistant Coach (Offensive Coordinator/Quarterbacks)
2,,,,,,,,,Villanova,,,Ross Pennypacker,Assistant Coach (Defensive Coordinator/Defensive Line)
3,,,,,,,,,Villanova,,,Sean Devine,Assistant Coach (Offensive Run Game Coordinator/Offensive Line)
4,,,,,,,,,Villanova,,,David Riede,Assistant Coach (Recruiting Coordinator/Linebackers)
5,,,,,,,,,Villanova,,,Nate Pagan,Assistant Coach (Wide Receivers)
6,,,,,,,,,Villanova,,,Matt Colangelo,Assistant Coach (Special Teams Coordinator/Safeties)
7,,,,,,,,,Villanova,,,Josh Fletcher,Assistant Coach (Running Backs)
8,,,,,,,,,Villanova,,,Dustin Johnson,Assistant Coach (Cornerbacks)
9,,,,,,,,,Villanova,,,Lachlan Kline,Offensive Assistant (Tight Ends)
10,,,,,,,,,Villanova,,,Pat Crowley,Defensive Assistant
11,,,,,,,,,Villanova,,,TJ Landis,Coordinator Of Football Video Operations & Administrative Services
12,,,,,,,,,Villanova,,,Tyler Waite,Athletic Trainer
13,,,,,,,,,Villanova,,,Mike Tucker,Strength & Conditioning
