,Statistic,#,Full Name,Pos.,Ht.,Wt.,Year,Hometown / High School,Current School Name,Previous School
88,,60.0,Conner Parsons,OL,6-2,295.0,Gr.,"Mansfield, Texas / Mansfield HS",Austin Peay State,Louisiana-Monroe
89,,63.0,Donovan Haslam,OL,6-6,340.0,Fr.,"Perry, Ga. / Perry HS",Austin Peay State,
90,,67.0,Luke Reed,OL,6-0,278.0,R-Fr.,"Milan, Tenn. / South Gibson County HS",Austin Peay State,
91,,69.0,Michael Treadwell,OL,6-0,288.0,R-So.,"Knoxville, Tenn. / Powell HS",Austin Peay State,
92,,70.0,Ian Poe,OL,6-6,321.0,Fr.,"Tullahoma, Tenn. / Tullahoma HS",Austin Peay State,
93,,71.0,Harrison Wilkes,OL,6-4,260.0,So.,"Germantown, Tenn. / Houston HS",Austin Peay State,
94,,72.0,Jaiden Giovenco,OL,6-5,319.0,Fr.,"Tampa, Fla. / Tampa Catholic HS",Austin Peay State,
95,,73.0,Aaren Alexander,OL,6-1,271.0,R-Fr.,"Cordova, Tenn. / Cordova HS",Austin Peay State,
96,,75.0,Kobe Nash,OL,6-2,333.0,R-Fr.,"Madison, Ala. / Buckhorn HS",Austin Peay State,
97,,77.0,Gavin Campbell,OL,6-4,290.0,R-Jr.,"Olive Branch, Miss. / DeSoto Central HS",Austin Peay State,
98,,80.0,Kenny Odom,WR,5-8,170.0,Fr.,"Savannah, Ga. / Savannah Country Day School",Austin Peay State,
99,,81.0,Matt Rigney,P,6-4,204.0,R-Jr.,"Newcastle, Australia / Independence HS",Austin Peay State,Middle Tennessee
100,,82.0,DJ Carter,WR,5-10,192.0,Fr.,"Montgomery, Ala. / Montgomery Catholic HS",Austin Peay State,
101,,83.0,Cameron Goodson,WR,5-9,170.0,R-Fr.,"Frisco, Texas / Cornerstone Christian",Austin Peay State,
102,,85.0,Anietie Ntekop,TE,6-4,251.0,R-Fr.,"Roswell, Ga. / Roswell HS",Austin Peay State,
103,,87.0,Jack Baker,TE,6-1,286.0,R-Fr.,"Nashville, Tenn. / Fairview HS",Austin Peay State,
104,,88.0,Marcus McGhee,WR,5-11,211.0,R-So.,"Birmingham, Ala. / Homewood HS",Austin Peay State,
105,,89.0,Noah Williams,TE,6-2,231.0,R-Fr.,"Calera, Ala. / Calera Hs",Austin Peay State,
106,,90.0,Kendyle Ball,DL,6-1,239.0,Fr.,"Nashville, Tenn. / Davidson Academy",Austin Peay State,
107,,91.0,Tyree Pharr,DL,6-0,260.0,R-Fr.,"Mobile, Ala. / Theodore HS",Austin Peay State,
108,,91.0,Maddux Trujillo,K,6-1,160.0,So.,"Flowery Branch, Ga. / Flowery Branch HS",Austin Peay State,
109,,92.0,Travis Bates,DL,6-2,250.0,Fr.,"Tomball, Texas / Tomball HS",Austin Peay State,
110,,93.0,Chukwuemeka Manning Jr.,DL,6-0,275.0,Gr.,"Durham, N.C. / Riverside HS",Austin Peay State,North Carolina Central
111,,95.0,Elon McKenzie,DL,6-2,248.0,R-Fr.,"Smiths, Ala. / Central HS",Austin Peay State,
112,,96.0,Ashton Chavis,DL,6-1,253.0,R-Fr.,"Clarksville, Tenn. / Rossview HS",Austin Peay State,
113,,98.0,DeTerias Glover,DL,6-2,242.0,So.,"Kingsland, Ga. / Camden County HS",Austin Peay State,
