,Statistic,No.,Name,Pos.,Ht.,Wt.,Yr.,Exp.,Hometown/Previous School,Image,Title
57,,52.0,Ivan Garza,OL,6-5,290.0,Jr.,2V,"Delano, Calif. / Robert F. Kennedy HS",,
58,,54.0,Riley Hernandez,DL,6-2,228.0,Rs.,RS,"Bakersfield, Calif. / Liberty HS",,
59,,55.0,Jett Stanley,DL,6-4,284.0,Sr.,3V,"Brentwood, Calif. / Heritage HS",,
60,,55.0,Jordan Stanley,OL,6-4,265.0,Sr.,,"Brentwood, Calif. / Heritage HS",,
61,,56.0,Brandon Knott,DL,6-3,270.0,Jr.,2V,"Sacramento, Calif. / Inderkum HS",,
62,,57.0,Zach Corbitt,LB,6-2,220.0,So.,1V,"Folsom, Calif. / Vista Del Lago HS",,
63,,58.0,Mitchell Wolfe,LB,6-3,228.0,So.,1V,"Sumner, Wash. / Sumner HS",,
64,,59.0,Nathan Mejia,OL,6-3,295.0,So.,1V,"Arcadia, Calif. / Cathedral HS",,
65,,60.0,AJ Campos,LS,6-2,224.0,So.,1V,"Upland, Calif. / Upland HS",,
66,,61.0,Matt Bautista,OL,6-1,260.0,Jr.,JC,"Williams, Calif. / Feather River JC",,
67,,62.0,Kenndel Riley,OL,6-3,320.0,So.,1V,"Lincoln, Calif. / Capital Christian HS",,
68,,63.0,Maximillian Haro,OL,6-3,300.0,Fr.,RS,"San Pablo, Calif. / Salesian HS",,
69,,64.0,Brandon Sousa,OL,6-4,291.0,Fr.,RS,"Pleasanton, Calif. / Foothill HS",,
70,,66.0,Billy Lutui,DL,6-1,309.0,Jr.,2V,"Corona, Calif. / Centennial HS",,
71,,67.0,Christopher Kent,LS,6-1,240.0,Jr.,1V,"Simi Valley, Calif. / Southern Utah",,
72,,68.0,Kinnick Manley,LS,6-3,205.0,So.,,"Firestone, Colo. / Dodge City JC",,
73,,70.0,Justin Davis,OL,6-6,375.0,Fr.,RS,"Camarillo, Calif. / Oaks Christian HS",,
74,,71.0,Cade Gretlein,OL,6-4,290.0,Fr.,,"Bakersfield, Calif. / Liberty HS",,
75,,71.0,Troy Stiefel,OL,6-5,290.0,Sr.,3V,"Yorba Linda, Calif. / Yorba Linda HS",,
76,,72.0,Sawyer Hays,OL,6-6,281.0,So.,1V,"Sacramento, Calif. / Christian Brothers HS",,
77,,73.0,Tyler Henry,DL,6-3,302.0,Fr.,RS,"Vallejo, Calif. / De La Salle HS",,
78,,74.0,Aidan Meek,OL,6-5,282.0,So.,1V,"Bakersfield, Calif. / Garces Memorial HS",,
79,,76.0,Jackson Slater,OL,6-4,303.0,Jr.,2V,"Bellevue, Wash. / Newport HS",,
80,,77.0,Tyler Perez,OL,6-5,299.0,So.,1V,"Chino Hills, Calif. / Chino Hills HS",,
81,,79.0,Kaden Richardson,OL,6-3,279.0,Jr.,2V,"Folsom, Calif. / UC Davis",,
82,,80.0,Ashar Granger,WR,6-1,197.0,Fr.,RS,"Riverside, Calif. / JW North HS",,
83,,82.0,Coleman Kuntz,TE,6-3,220.0,So.,1V,"Beaumont, Calif. / Etiwanda HS",,
84,,83.0,Bronson England,WR,5-10,170.0,So.,RS,"Modesto, Calif. / Sacramento City JC",,
85,,85.0,Cobe Weeks,TE,6-3,225.0,So.,1V,"Roseville, Calif. / Granite Bay HS",,
86,,86.0,Ty Smith,WR,6-1,186.0,So.,1V,"Apple Valley, Calif. / Apple Valley HS",,
87,,87.0,Will Schalde,TE,6-5,225.0,So.,1V,"Lemoore, Calif. / Lemoore HS",,
88,,88.0,Charlie McBride,TE,6-3,240.0,Sr.,3V,"Rocklin, Calif. / Rocklin HS",,
89,,89.0,Austin Jarrard,TE,6-3,242.0,Jr.,1V,"El Dorado Hills, Calif. / Oklahoma State",,
90,,90.0,Josh Cooper,DL,6-2,231.0,Sr.,3V,"Bellflower, Calif. / Downey HS",,
91,,91.0,Cal McGough,P,6-2,180.0,So.,1V,"Geelong, Australia / St. Joseph’s College",,
92,,92.0,Gabe Panikowski,K,5-10,185.0,So.,1V,"San Diego, Calif. / Torrey Pines HS",,
93,,93.0,Tyler Hardeman,DL,6-3,280.0,Sr.,3V,"Cameron Park, Calif. / Folsom HS",,
94,,94.0,Ben Ahio,DL,6-4,266.0,Sr.,1V,"Fresno, Calif. / Fresno City JC",,
95,,95.0,Mason Brosseau,DL,6-3,277.0,So.,1V,"Hanford, Calif. / Hanford HS",,
96,,96.0,John Carey III,DL,6-3,282.0,So.,1V,"Stockton, Calif. / Chavez HS",,
