,Statistic,No.,Name,Yr.,Pos.,Ht.,Wt.,Hometown / High School (Last School),Image,Title
70,,76.0,Michael Scibelli,R-Jr.,OL,6-3,290.0,"Oceanside, N.Y. / Oceanside (Miami)",,
71,,77.0,Asa Neal,Fr.,OL,6-4,305.0,"Rahway, N.J. / Erasmus Hall",,
72,,78.0,Lorenzo Thompson,R-Jr.,OL,6-7,295.0,"Syracuse, N.Y. / Cicero North",,
73,,79.0,Montaner Fresilli,R-So.,OL,6-2,285.0,"South Kingstown, R.I. / South Kingstown",,
74,,80.0,DeJuan Ellis,R-Jr.,WR,6-0,177.0,"Accokeek, Md. / McDonough (Maryland)",,
75,,81.0,Tommy Smith,R-So.,TE,6-2,230.0,"Maynard, Mass. / Maynard",,
76,,82.0,Caleb Warren,Sr.,TE,6-3,245.0,"Brandon, Fla. / Seffner Christian",,
77,,83.0,J.T. Gibbons,Sr.,WR,6-0,225.0,"Wakefield, R.I. / South Kingstown",,
78,,84.0,Jig Williams,So.,WR,6-3,195.0,"Minneola, Fla. / Lake Minneola",,
79,,85.0,Mack Murtha,Fr.,WR,5-10,180.0,"West Sayville, N.Y. / Sayville",,
80,,86.0,Pedro Schmidt,Gr.,WR,6-0,195.0,"North Huntingdon, Pa. / Norwin (North Dakota)",,
81,,87.0,Hunter Hopperton,Fr.,TE,6-3,250.0,"Streetsboro, Ohio / Streetsboro",,
82,,88.0,Kevin Schaeffer,R-Fr.,TE,6-5,245.0,"Hewitt, N.J. / West Milford (Rutgers)",,
83,,89.0,Brady Roark,R-So.,TE,6-2,230.0,"Mahwah, N.J. / St. Joseph Regional",,
84,,90.0,Gabe Salomons,So.,LB,6-4,240.0,"West Hartford, Conn. / Hall",,
85,,91.0,Treyvon Christian,Fr.,DL,6-3,295.0,"Norwich, Conn. / Norwich Free Academy",,
86,,93.0,Bless Nyanneh,Fr.,DL,6-3,265.0,"Providence, R.I. / Bishop Hendricken",,
87,,94.0,Henry Westermann,R-So.,P,6-3,225.0,"Haddonfield, N.J. / Paul VI",,
88,,95.0,Donato Crisanti,R-So.,LS,6-5,231.0,"North Haven, Conn. / St. Thomas More (Rutgers)",,
89,,96.0,Michael DeBolt,R-Fr.,K,5-11,206.0,"Mansfield, Mass. / Bridgton Academy",,
90,,97.0,Jalen Brown,Gr.,DL,6-0,266.0,"Clinton, Md. / DeMatha Catholic (Saint Francis)",,
91,,98.0,Jasyn Andrews,Sr.,DL,6-3,298.0,"Stamford, Conn. / Trinity Catholic (Western New England)",,
92,,99.0,"Westley Neal, Jr.",So.,DL,6-0,315.0,"Miami, Fla. / Gulliver Prep",,
0,,,Jim Fleming,,,,,,,Head Coach
1,,,Jack Cooper,,,,,,,Defensive Coordinator/Defensive Backs
2,,,Umberto Di Meo,,,,,,,Defensive Line Coach
3,,,Mike Flanagan,,,,,,,Associate Head Coach/Running Backs/Recruiting Coordinator
4,,,Troy Gilmer,,,,,,,Outside Linebackers Coach//Special Teams Coordinator
5,,,Chris Lorenti,,,,,,,Inside Linebackers Coach
6,,,Clayton McGrath,,,,,,,Defensive Quality Control
7,,,Zach Metkler,,,,,,,Offensive Quality Control
8,,,Patrick Murphy,,,,,,,Offensive Coordinator/Quarterbacks
9,,,Brendan Patterson,,,,,,,Tight Ends Coach
10,,,Custavious Patterson,,,,,,,Wide Receivers Coach
11,,,Chris Satoh,,,,,,,Director of Player Personnel and Pro Liaison/Assistant Defensive Backs/Director of Video & Social Media
12,,,Stefon Wheeler,,,,,,,Offensive Line Coach/Running Game Coordinator
13,,,Vince Sinagra,,,,,,,Chief of Staff
14,,,Michaela Kraut,,,,,,,Director of Operations
15,,,Donnie Smith,,,,,,,Director of Player Development
16,,,Robert Izzi,,,,,,,Team Chaplain
