,Statistic,#,Full Name,Pos,Ht.,Academic Year,Hometown / High School,Image,Name,Title
0,,3.0,Anthony Stell Jr.,WR,5-10,R-Sr.,"Seattle, Wash. / Rainier Beach HS '18",,,
1,,4.0,Anthany Smith,S,5-11,R-Sr.,"Everett, Wash. / Mariner HS '17",,,
2,,8.0,Darrien Sampson,CB,6-0,R-Sr.,"South Seattle, Wash. / Rainier Beach HS '18",,,
3,,9.0,Robert Mason III,WR,6-1,R-Sr.,"Graham, Wash. / Graham-Kapowsin HS '18 / Central Washington Univ.",,,
4,,10.0,Josh Johnson,WR,6-2,R-So.,"San Pedro, Calif. / San Pedro HS '21",,,
5,,11.0,Jakobie James,WR,6-1,R-Sr.,"Redlands, Calif. / Redlands HS '19",,,
6,,12.0,Wesley Garrett,WR,5-11,R-Fr.,"Mukilteo, Wash. / Kamiak HS '22",,,
7,,13.0,LeAndre Gaines,DE,6-3,R-Jr.,"Chehalis, Wash. / W.F. West HS '20",,,
8,,13.0,Michael Wortham,QB,5-9,Jr.,"North Highlands, Calif. / Center HS / Sierra College",,,
9,,14.0,Jackson Cleaver,P,6-2,R-Jr.,"Tigard, Ore. / Tigard HS '20",,,
10,,15.0,Jared Taylor,QB,6-0,Jr.,"Stanwood, Wash. / Lakewood HS / Feather River CC",,,
11,,16.0,Kekoa Visperas,QB,6-0,R-So.,"Spanaway, Wash. / Bethel HS '21",,,
12,,16.0,Miles Williams,WR,6-0,R-Fr.,"Happy Valley, Ore. / Clackamas HS '22",,,
13,,17.0,Nolan Ulm,WR,6-2,Jr.,"Kelowna, B.C. / Kelowna Secondary HS '20",,,
14,,18.0,Jaelin Green,WR,6-5,R-Fr.,"South Seattle, Wash. / Rainier Beach HS '22",,,
15,,19.0,Isaiah Lewis,RB,6-0,R-Sr.,"Monroe, Wash. / Monroe HS '18",,,
16,,20.0,Marlon Jones Jr.,CB,6-0,R-Sr.,"Tacoma, Wash. / Curtis HS '19",,,
17,,22.0,Justice Jackson,RB,5-11,Jr.,"Antioch, Calif. / Liberty HS '20",,,
18,,23.0,Micah Smith,RB,6-0,R-Sr.,"Spanaway, Wash. / Graham-Kapowsin HS '18",,,
