,Statistic,#,Full Name,Academic Year,Pos.,Hometown / High School,Ht.,Wt.,Custom Field 1,Custom Field 2,Custom Field 3,Image,Name,Title
39,,49.0,Nassir Young,So.,DB,"Troy, N.Y. / La Salle Institute",6-0,166.0,,,,,,
40,,50.0,Latrell Couchman,So.,LB,"Irvington, N.J. / Irvington",6-1,222.0,,,,,,
41,,51.0,Joey Bryson,R-Fr.,K,"Lumberton, N.J. / Rancocas Valley Regional",5-9,180.0,,,,,,
42,,52.0,John Costanza,Sr.,DL,"Brick Township, N.J. / Brick Township",6-4,277.0,,,,,,
43,,53.0,Isaac Ofielu,So.,LB,"Saco, ME / Thornton Academy",6-1,221.0,,,,,,
44,,54.0,Zion Cheeks,R-Fr.,LB,"Penns Grove, N.J. / Penns Grove",6-2,180.0,,,,,,
45,,55.0,Darius Bell,So.,OL,"Hamilton, Ontario / Clearwater Academy International",6-5,311.0,,,,,,
46,,56.0,Jacob Tuiasosopo,Sr.,DL,"Waldorf, MD / North Point",6-5,251.0,,,,,,
47,,57.0,David Gross,Jr.,OL,"Bucksport, ME / Bucksport",6-1,323.0,,,,,,
48,,58.0,Thomas Horton,R-Fr.,DL,"Standish, Maine / Bonny Eagle",6-0,260.0,,,,,,
49,,59.0,Cody Williams,5th,K,"Murrieta, CA / Murrieta Valley (Portland State)",5-10,181.0,,,,,,
50,,63.0,Jack Webb,5th,OL,"Arundel, ME / Thornton Academy (Sacred Heart)",6-3,367.0,,,,,,
51,,64.0,Jack Boutaugh,R-Fr.,OL,"Turner, Maine / Leavitt",6-4,265.0,,,,,,
52,,65.0,Nicolas Cruji,So.,OL,"Mississauga, Ontario / Lorne Park/Wyoming Secondary",6-4,275.0,,,,,,
53,,68.0,Max Gregor,R-Fr.,OL,"Easton, CT / Cheshire Academy",6-4,275.0,,,,,,
54,,71.0,Tyler Williams,R-Fr.,OL,"Clifton, N.J. / Clifton",6-4,318.0,,,,,,
55,,75.0,Sean Pozniak,R-Fr.,OL,"Ashburn, VA / Tuscarora",6-8,300.0,,,,,,
56,,77.0,Kevin Jones,5th,OL,"Coatesville, PA / Bishop Shanahan",6-6,318.0,,,,,,
57,,79.0,Max Lövblad,Sr.,OL,"Falun, Sweden / Arlandagymnasiet (Arlanda Jets)",6-7,310.0,,,,,,
58,,80.0,Jamie Lamson,Sr.,WR,"Southington, CT / Southington",6-1,200.0,,,,,,
59,,81.0,Montigo Moss,Sr.,WR,"Charlotte, N.C. / Fork Union Military Academy",6-1,208.0,,,,,,
60,,82.0,Cooper Heisey,Gr.,TE,"Scotch Plains, N.J. / Scotch Plains-Fanwood (Rutgers)",6-4,250.0,,,,,,
61,,83.0,Michael Monios,Sr.,WR,"Montreal, Que. / Choate Rosemary Hall",5-10,170.0,,,,,,
62,,84.0,Trevin Ewing,Sr.,WR,"Elkton, MD / Elkton",5-11,180.0,,,,,,
63,,85.0,Matt Toman,Jr.,TE,"Rutherford, N.J. / St. Mary",6-4,226.0,,,,,,
64,,86.0,Antonio Corsi,So.,TE,"Ottawa, Ontario / St. Francis",6-3,277.0,,,,,,
65,,88.0,Rohan Jones,So.,TE,"Montreal, Que. / Collège André-Grasset",6-2,230.0,,,,,,
66,,89.0,Gianni Rossitto,R-Fr.,WR,"Dix Hills, N.Y. / Half Hollow Hills",6-0,185.0,,,,,,
67,,90.0,Xavier Holmes,So.,DL,"Clarksburg, MD / Clarksburg/Jireh Prep",6-3,225.0,,,,,,
68,,91.0,Shymell Davis,So.,DL,"Woolwich, N.J. / Kingsway/Wyoming Seminary",6-3,264.0,,,,,,
69,,92.0,Francisco Pratts III,R-Fr.,TE,"New London, CT / New London High School",6-3,233.0,,,,,,
70,,94.0,Clayton Ritter,So.,LS,"Middletown, DE / Hodgson Vo-Tech",5-11,237.0,,,,,,
71,,95.0,Mike Hamilton,R-Fr.,DL,"Sicklerville, N.J. / Hammonton High School/Bishop Eustace Prep",6-3,235.0,,,,,,
72,,95.0,Bailey Timms,5th,P,"Warrnambool, Australia / Latrobe University",6-2,196.0,,,,,,
73,,96.0,Dorian Royal,Jr.,DL,"Quebec City, Quebec, Canada / Cégep Garneau",6-4,296.0,,,,,,
74,,97.0,Elijah Alexander,R-Fr.,DL,"Bear, DE / St. Georges Technical",6-4,230.0,,,,,,
75,,98.0,Cole Baker,So.,K/P,"Wrenthem, MA / Cheshire Academy/King Philip Regional H.S.",5-11,200.0,,,,,,
76,,99.0,Nicolas Kalume,R-Fr.,DL,"London, Ontario / St. Andre Bessete Catholic Secondary/Football North",6-3,225.0,,,,,,
77,,,Chris Bacon,Fr.,DL,"Hicksville, N.Y. / Holy Trinity",6-3,231.0,,,,,,
78,,,Alex Berrouet,So.,RB,"Acton, MA / Acton-Boxborough (Colorado State)",6-0,205.0,,,,,,
79,,,Na'Cire Christmas,Fr.,DB,"Woodbury, N.J. / St. Augustine Prep",6-0,180.0,,,,,,
80,,,Caden Drezek,Fr.,QB,"Seymour, Conn. / Seymour",6-3,215.0,,,,,,
81,,,Joe Horn,So.,OL,"Hamilton, N.J. / The Hun School (UMass)",6-2,310.0,,,,,,
82,,,Anthony Iliano,Fr.,OL,"Cleveland, OH / Benedictine",6-4,280.0,,,,,,
83,,,Kevin Jackson,Fr.,WR,"Springfield, MA / Springfield Central",5-11,180.0,,,,,,
84,,,Nicholas Kaptein,Fr.,OL,"Ajax, Ontario / St. Thomas More",6-6,330.0,,,,,,
85,,,Tristen Kenan,Fr.,RB,"Baltimore, MD / Dunbar",5-11,190.0,,,,,,
86,,,Jake Kucera,Fr.,TE,"North Haledon, N.J. / DePaul Catholic",6-4,230.0,,,,,,
87,,,Nick Laughlin,Fr.,WR,"Cape Elizabeth, ME / Cape Elizabeth",5-10,180.0,,,,,,
88,,,Michael Lewinski,Fr.,K/P,"Wells, ME / Wells",6-0,215.0,,,,,,
89,,,Xavier Lozowicki,Fr.,OL,"Ridley Park, PA / IMG Academy",6-4,300.0,,,,,,
90,,,Jabari Odoemenem,Fr.,LB,"Woodbridge, VA / Woodbridge",6-1,230.0,,,,,,
91,,,Jayden Platt,Fr.,DB,"Melville, N.Y. / St. Anthony's",6-2,185.0,,,,,,
92,,,Blake Thomas,Fr.,WR,"Seacaucus, N.J. / DePaul Catholic",6-3,190.0,,,,,,
93,,,Jared Tynes,Fr.,DL,"North Brunswick, N.J. / North Brunswick",6-1,215.0,,,,,,
0,,,,,,,,,,,,,Jordan Stevens,Head Coach
1,,,,,,,,,,,,,Steve Cooper,Offensive Coordinator/QB
2,,,,,,,,,,,,,Jeff Comissiong,Defensive Coordinator / Linebackers
3,,,,,,,,,,,,,Jimmy Walsh,Special Teams Coordinator / Cornerbacks
4,,,,,,,,,,,,,Mikahael Waters,Wide Receivers / Co- Special Teams Coordinator / Pro Liaison
5,,,,,,,,,,,,,Patrick Kugler,Offensive Line
6,,,,,,,,,,,,,Pushaun Brown,Running Backs
7,,,,,,,,,,,,,Derham Cato,Tight Ends
8,,,,,,,,,,,,,Tom McEntire,Defensive Pass Game Coordinator - Defensive Backs
9,,,,,,,,,,,,,Spencer Carey,Outside Linebackers / Recruiting Coordinator
10,,,,,,,,,,,,,Umberto Di Meo,Defensive Line
11,,,,,,,,,,,,,Tom Hanscom,Director of Football Operations
12,,,,,,,,,,,,,Jon Lynch,Director of Sports Performance
13,,,,,,,,,,,,,Trey Hall,Head Football Sports Performance Coach
14,,,,,,,,,,,,,Kristin Gilmour,Athletic Academic Counselor
15,,,,,,,,,,,,,Julie Cheville,"Athletics Academic Counselor (FB, S&D)"
16,,,,,,,,,,,,,Muralee Das,Faculty Liaison
