,Statistic,No.,Name,Pos.,Ht.,Wt.,Yr.,Hometown,Previous School,Image,Title
74,,76.0,Bo Donald,OL,6-6,300.0,Sr.,"Kimball, S.D.",Kimball H.S.,,
75,,77.0,Michael Reed,OL,6-3,325.0,So.,"Sparta, Wis.",Bangor H.S.,,
76,,78.0,John O'Brian,OL,6-5,300.0,Sr.,"Eaton Rapids, Mich.",Bowling Green,,
77,,79.0,Jharett Bloomenrader,OL,6-5,290.0,Sr.,"Highmore, S.D.",Highmore-Harrold H.S.,,
78,,80.0,Nate Sullivan Jr.,TE,6-2,225.0,Jr.,"Bellevue, Neb.",Bellevue West H.S.,,
79,,81.0,Rhett Foster,WR,6-3,185.0,R-Fr.,"Smithville, Mo.",Smithville H.S.,,
80,,82.0,Jason Harris,WR,6-0,210.0,R-Fr.,"New Lenox, Ill.",Lincoln-Way West H.S.,,
81,,83.0,David Alpers,TE,6-6,225.0,R-Fr.,"Sioux Falls, S.D.",O'Gorman H.S.,,
82,,84.0,Daxon Lindholm,WR,5-10,160.0,So.,"Glendale, Ariz.",Centennial,,
83,,86.0,Patrick Hoffmann,WR,6-1,200.0,Jr.,"Naperville, Ill.",Northern Illinois,,
84,,87.0,Zach Heins,TE,6-7,260.0,Sr.,"Sioux Falls, S.D.",Washington H.S.,,
85,,88.0,Greyton Gannon,TE,6-4,215.0,R-Fr.,"Eagle, Wis.",Mukwonago H.S.,,
86,,89.0,Brody Gormley,TE,6-7,225.0,R-Fr.,"Topeka, Kan.",Seaman H.S.,,
87,,90.0,Randy Keumogne,DE,6-3,230.0,Sr.,"Oakdale, Minn.",Tartan H.S.,,
88,,91.0,Hayden Muirhead,TE,6-6,230.0,So.,"Sioux Falls, S.D.",O'Gorman H.S.,,
89,,91.0,Jace Sifore,DT,6-4,265.0,R-Fr.,"Howard, S.D.",Howard H.S.,,
90,,92.0,Brian Williams,DT,6-1,290.0,Sr.,"Chipley, Fla.",Valdosta State,,
91,,93.0,Max Baloun,DT,6-6,245.0,Jr.,"Redfield, S.D.",Redfield H.S.,,
92,,94.0,Cade Terveer,DE,6-3,250.0,Sr.,"Brandon, S.D.",Brandon Valley H.S.,,
93,,95.0,Zac Wilson,DE,6-3,235.0,Sr.,"Chipley, Fla.",Chipley H.S.,,
94,,96.0,Zach Brummels,K,6-4,190.0,R-Fr.,"Brandon, S.D.",Brandon Valley H.S.,,
95,,97.0,Luke Fenton,K/P,6-0,185.0,R-Fr.,"Omaha, Neb.",Creighton Prep,,
96,,98.0,Ryan Van Marel,DT,6-4,280.0,Sr.,"Sheldon, Iowa",Sheldon H.S.,,
97,,99.0,Jack Green,K,6-3,195.0,So.,"Rapid City, S.D.",St. Thomas More H.S.,,
0,,,Jimmy Rogers,,,,,,,,Head Coach
1,,,Zach Lujan,,,,,,,,Offensive Coordinator/Quarterbacks Coach
2,,,Jesse Bobbit,,,,,,,,Defensive Coordinator/Linebackers Coach
3,,,Ryan Olson,,,,,,,,Run Game Coordinator/Offensive Line Coach
4,,,Chris Meyers,,,,,,,,Tight Ends Coach/Recruiting Coordinator
5,,,Mark Kubacki,,,,,,,,Assistant Defensive Line Coach
6,,,Jake Menage,,,,,,,,Wide Receivers Coach
7,,,Pete Menage,,,,,,,,Safeties Coach
8,,,Robbie Rouse,,,,,,,,Running Backs Coach
9,,,Matt Jacobs,,,,,,,,Director of Strength & Conditioning for Football
10,,,Chuck Case,,,,,,,,Graduate Assistant – Offense
11,,,Evan Traxler,,,,,,,,Graduate Assistant – Defense
12,,,Sean Hupke,,,,,,,,Video Coordinator
0,,,Jonathan Shaeffer,,,,,,,,Director of Football Operations/Director of On-Campus Recruiting
1,,,Aaron Crowell,,,,,,,,Head Equipment Manager
