,Statistic,#,Image,Full Name,Pos.,Ht.,Wt.,CL.,Hometown,Previous School,Name,Title
29,,26.0,,Kendrell Flowers,RB,6-0,220.0,R-So.,"Columbia, SC",Irmo HS/Wake Forrest,,
30,,27.0,,Donte Anthony,RB,5-11,200.0,R-Jr.,"Fountain Inn, SC",Hillcrest HS,,
31,,28.0,,Michael Brunson,DB,5-9,155.0,So.,"St. Matthews, SC",Calhoun County,,
32,,29.0,,Jadin Jones,LB,6-2,215.0,Fr.,"Camden County, GA",Camden County (GA)?HS,,
33,,30.0,,Gavyn Zimmerman,K,5-11,150.0,So.,"Sumter, SC",Crestwood HS,,
34,,32.0,,Dyson Roberts,P/K,5-11,187.0,So.,"Sumter, SC",,,
35,,33.0,,Chris Austin,LB,6-0,200.0,R-Fr.,"Orangeburg, SC",Orangeburg-Wilkinson HS,,
36,,33.0,,Dhani Dixon,RB,5-9,205.0,R-Fr.,"Blythewood, SC",,,
37,,34.0,,"Jeblonski Green, Jr.",DL,6-1,280.0,R-Jr.,"Lamar,SC",Lamar HS,,
38,,35.0,,Tyrone Hicks,LB,6-2,211.0,So.,"Johns Island, SC",St. Johns HS,,
39,,36.0,,Blake Morros,K,5-11,175.0,Fr.,"Hanahan, SC",Hanahan HS,,
40,,37.0,,Sean Artiss,DB,5-11,180.0,R-So.,"Blythewood, SC",Westside HS,,
41,,38.0,,Adonis Davis,LB,6-0,191.0,So.,"Blackville, SC",Blackville-Hilda HS,,
42,,39.0,,Caleb Brown,LS,6-2,190.0,R-Sr.,"Florence, SC",Wilson HS,,
43,,41.0,,TJ Williams,ATH,6-2,205.0,Fr.,"Denmark, SC",Denmark-Olar HS,,
44,,42.0,,Josh Shaw,RB,5-10,185.0,Fr.,"Hanahan, SC",,,
45,,43.0,,Patrick Godbolt,DL,6-3,235.0,Jr.,"Blythewood, SC",Blythewood HS,,
46,,44.0,,DJ Bethea,DB,6-2,180.0,Fr.,"Lake View,?SC",Lake View HS,,
47,,45.0,,Kwantre Harry,DB,5-11,185.0,Fr.,"Bishopville, SC",Lee Central HS,,
48,,47.0,,Lawson Danley,TE,6-2,225.0,Jr.,"Irmo, SC",Dutch Fork HS,,
49,,48.0,,Yancey Washington,TE,6-2,230.0,R-Jr.,"North Charleston, SC",N. Charleston HS,,
50,,49.0,,Khalil Ellis,TE,6-2,261.0,R-So.,"Rock Hill, SC",York HS,,
51,,49.0,,Khalil Ellis,TE,6-2,261.0,R-Jr.,"Rock Hill, SC",,,
52,,50.0,,Tamorye Thompson,DL,6-1,240.0,Fr.,"Greensboro, NC",Grimsley HS,,
53,,51.0,,Moses Umoren,OL,6-4,285.0,Fr.,"Columbus, GA",Carver HS (GA),,
54,,52.0,,Jayden Johnson,OL,6-3,325.0,Fr.,"Goose Creek, SC",,,
55,,54.0,,Karrlen Waymyers,DL,6-2,243.0,So.,"Neeses, SC",,,
56,,55.0,,Xavier Barr,DL,6-2,25.0,Fr.,"Florence, SC",,,
57,,56.0,,Zione Meadows,DE,6-1,236.0,Fr.,"Greenville, SC",JL Mann HS,,
58,,57.0,,Nathaniel Wilcox,DE,6-1,242.0,R-Fr.,"Cutler Bay, FL",,,
