,Statistic,#,Full Name,Class,Pos.,Ht.,Wt.,Hometown / High School,Image,Name,Title
113,,89.0,Chaney Fitzgerald,Fr.,WR,5-10,190.0,"Kernersville, N.C. / Glenn HS",,,
114,,90.0,JT Whitmore,Jr.,DL,6-3,250.0,"Charlotte, N.C. / Mallard Creek HS",,,
115,,92.0,Dre Giles,Gr.,DL,6-3,290.0,"Richmond, Va. / Meadowbrook HS",,,
116,,94.0,DJ Jackson,R-Sr.,DL,6-0,330.0,"Atlanta, Ga. / Hapeville Charter HS / Eastern Michigan",,,
117,,95.0,Paul Hutson III,Fr.,DL,6-1,295.0,"Norfolk, Va. / IMG Academy (Fla.)",,,
118,,96.0,Ethan Rennels,R-Fr.,DL,6-3,330.0,"Boiling Springs, S.C. / Boiling Springs HS",,,
119,,97.0,Jorell Baum,R-Jr.,DL,6-4,250.0,"Elizabeth City, N.C. / Northeastern HS / Old Dominion",,,
120,,98.0,Josh Lyles,R-Fr.,DL,6-1,265.0,"Altamonte Springs, Fla. / Seminole HS",,,
121,,99.0,Gabe Holmes,Gr.,DL,6-3,290.0,"Tarpon Springs, Fla. / East Lake HS",,,
0,,,,,,,,,,Mike Minter,Head Coach
1,,,,,,,,,,Steven Williams,Assistant Head Coach / Special Teams Coordinator
2,,,,,,,,,,Arturo Freeman,Co-Defensive Coordinator / Safeties
3,,,,,,,,,,Patrick Miller,Co-Defensive Coordinator
4,,,,,,,,,,Anthony Weeden,Offensive Coordinator / Wide Receivers
5,,,,,,,,,,Damien Adams,GM / Transfer Personnel / Defensive Line
6,,,,,,,,,,Famika Anae,Offensive Line
7,,,,,,,,,,Dee Brown,Quarterbacks / Running Backs
8,,,,,,,,,,Matt Chiappelli,Linebackers / Recruiting Coordinator
9,,,,,,,,,,Jacob Cuddington,Tight Ends
10,,,,,,,,,,Pierce Graham,Offensive Graduate Assistant
11,,,,,,,,,,Austin Blake,Offensive Graduate Assistant
12,,,,,,,,,,Josh Spicely,Defensive Quality Control
13,,,,,,,,,,Josh Evans,Offensive Quality Control
0,,,,,,,,,,Kady Knight,Director of Football Operations / Pro Liaison
1,,,,,,,,,,Emma Sheppard,Assistant Director of Football Operations
2,,,,,,,,,,Mark Spellman,"Director of Strength & Conditioning, Head Football Strength & Conditioning Coach"
3,,,,,,,,,,Desmond Johnson,Assistant Director of Football Strength & Conditioning
4,,,,,,,,,,Jackie Knight,"Director of Athletic Training (Football, Baseball)"
5,,,,,,,,,,JP Roseman,"Assistant Athletic Trainer (Football, Women's Lacrosse)"
6,,,,,,,,,,Tanner Bos,Graduate Assistant Athletic Trainer (Football)
7,,,,,,,,,,Brooke Deeringer,"Graduate Assistant Athletic Trainer (Football, Cheerleading)"
8,,,,,,,,,,Jeff Campbell,Head Equipment Manger
9,,,,,,,,,,Brad Dennis,Director of Video Operations
10,,,,,,,,,,Caleb Vick,Assistant Director of Video Operations
11,,,,,,,,,,Ernest Toh,Social Media Coordinator
12,,,,,,,,,,Hannah Carol,Social Media Coordinator
