,No.,Name,Pos.,Ht.,Wt.,Yr.,Hometown,High School (Prev. School),2022-23 Football Coaches,2022-23 Football Coaches.1
52,34,Ryan Mann,RB,5-11,195.0,R-Fr.,"Vernon Hills, Ill.",Vernon Hills (Northern Illinois),,
53,35,Frank Bartell,DB,6-0,200.0,Fr.,"Park Ridge, Ill.",Maine South,,
54,36,Justin Jurmu,LB,6-1,210.0,Fr.,"Marquette, Mich.",Marquette,,
55,37,Alton McCullum,DB,6-1,195.0,Fr.,"Oliver Springs, Tenn.",Warren De La Salle,,
56,38,Aaron Larkins Jr.,LB,5-11,185.0,Fr.,"Plainfield, Ill.",Plainfield Central,,
57,39,Owen Cherry,DB,6-1,195.0,Fr.,"LaGrange, Ill.",Lyons Township,,
58,40-O,Luke Dawson,TE,6-6,215.0,R-Fr.,"Hillsdale, Mich.",Jonesville,,
59,40-D,Wade Abrams,LB,6-0,225.0,Fr.,"Fox River Grove, Ill.",Cary-Grove,,
60,41,Hayden Bedell,LB,6-4,225.0,R-Fr.,"Orland Park, Ill.",Carl Sandburg,,
61,42,Alex Goworowski,DL,6-2,220.0,Fr.,"Chicago, Ill.",Saint Patrick,,
62,44,Jake Birmingham,LB,6-1,235.0,R-Fr.,"River Forest, Ill.",Oak Park and River Forest,,
63,,Keagan Henschel,LB,5-10,210.0,Fr.,"Fond du Lac, Wis.",Fond du Lac,,
64,45-O,Devin Yeats,TE,6-2,205.0,Fr.,"Hampshire, Ill.",Hampshire,,
65,45-D,Etwood Williams,DB,5-6,155.0,Fr.,"Mesa, Ariz.",Mesa,,
66,46,Trent Miller,DL,6-0,265.0,Jr.,"Gibsonia, Pa.",Pine-Richland,,
67,47,Silas Mathis,DB,5-11,145.0,Fr.,"Gary, Ind.",Merrillville,,
68,48,Jackson Dorr,P,6-0,190.0,R-Fr.,"Lone Tree, Colo.",Valor Christian,,
69,49,Brenden Freiermuth,LB,6-3,205.0,Fr.,"Hastings, Minn.",Hastings,,
70,50,Niko Paic,DL,6-1,285.0,Fr.,"Crown Point, Ind.",Crown Point,,
