,Statistic,#,Full Name,Pos.,Ht.,Wt.,Yr.,Hometown / High School,Previous School,Image,Name,Title
89,,75.0,Jackson Byrne,OL,6-2,310.0,R-Sr.,"New Albany, Ind. / West Washington",,,,
90,,76.0,Spencer Schneider,OL,6-5,320.0,R-Fr.,"Noblesville, Ind. / Guerin Catholic",,,,
91,,77.0,Tate Parker,OL,6-5,290.0,R-Fr.,"Toledo, Ohio / Whitmer",,,,
92,,78.0,Joel Stevens,OL,6-8,300.0,R-So.,"Lee's Summit, Mo. / Lee's Summit North",,,,
93,,79.0,Richard Myers,OL,6-5,290.0,Fr.,"Newburgh, Ind. / Castle",,,,
94,,80.0,Henry Woodcock,TE,6-3,235.0,R-Jr.,"Avon, Ind. / Cardinal Ritter",,,,
95,,81.0,James Mallory,WR,6-1,185.0,R-Fr.,"Terre Haute, Ind. / Terre Haute South",,,,
96,,82.0,Jared Kistler,WR,6-3,220.0,R-Fr.,"Fort Wayne, Ind. / Homestead",,,,
97,,83.0,Zavion Taylor,WR,5-9,175.0,So.,"Justin, Texas / Northwest",Navarro College,,,
98,,84.0,Harrison Stomps,WR,6-4,215.0,Fr.,"Greenwood, Ind. / Center Grove",,,,
99,,85.0,Ethan Chambers,WR,6-1,210.0,R-Fr.,"Fort Wayne, Ind. / Homestead",,,,
100,,86.0,DeAndre Rhodes,WR,6-3,190.0,R-Fr.,"Fishers, Ind. / Hamilton Southeastern",,,,
101,,87.0,Lance Rees,TE,6-4,250.0,R-Fr.,"Marshall, Ill. / Marshall",,,,
102,,88.0,Malachi Qualls,WR,6-1,195.0,R-Fr.,"Fishers, Ind. / Anderson",,,,
103,,89.0,Kevin Barnett,WR,6-4,200.0,R-So.,"Hattiesburg, Miss. / Oak Grove",East Mississippi Community College,,,
104,,90.0,Shane Bennett,DL,6-4,245.0,Fr.,"Greenwood, Ind. / Center Grove",,,,
105,,91.0,Kenny Butler III,DL,6-2,285.0,R-Fr.,"Evansville, Ind. / Castle",,,,
106,,92.0,Matthew Brown,DL,6-4,250.0,Fr.,"New Palestine, Ind. / New Palestine",,,,
107,,93.0,Lucas Hunter,DL,6-2,290.0,Jr.,"Indianapolis, Ind. / Center Grove",,,,
108,,94.0,Bryan Henderson II,DL,6-1,260.0,Fr.,"West Chester, Ohio / Lakota West",,,,
109,,96.0,Andre Casas,K,5-10,170.0,So.,"Oswego, Ill. / Oswego East",Concordia University (Wis.),,,
110,,96.0,Jake Hoper,DL,6-4,285.0,R-Jr.,"South Beloit, Ill. / Hononegah",Drake University,,,
111,,98.0,Casey Miller,DL,6-3,260.0,R-So.,"Mason, Ohio / William Mason",,,,
112,,99.0,Jack Sherman,DL,6-0,295.0,R-So.,"Terre Haute, Ind. / Terre Haute North",,,,
0,,,,,,,,,,,Curt Mallory,Head Coach
1,,,,,,,,,,,Mark Smith,Assistant Head Coach/Defensive Line
2,,,,,,,,,,,Mike Bath,Offensive Coordinator / Quarterbacks
3,,,,,,,,,,,Brad Wilson,Defensive Coordinator
4,,,,,,,,,,,Patrick Shepard,Special Teams Coordinator / Tight Ends
5,,,,,,,,,,,Aaron Young,Recruiting Coordinator / Running Backs
6,,,,,,,,,,,Tyler Funk,Offensive Line
7,,,,,,,,,,,Collin Coffer,Wide Receivers
8,,,,,,,,,,,Wolfgang Shafer,Safeties
9,,,,,,,,,,,Gavin Dineen,Defensive Line
10,,,,,,,,,,,JJ Henderson,Cornerbacks
11,,,,,,,,,,,Adam Dennison,Director of Operations
12,,,,,,,,,,,Dillon Weithman,Video Coordinator
0,,,,,,,,,,,Kyle Neaveill,Graduate Assistant/Defense
1,,,,,,,,,,,Brandon Hinds,Graduate Assistant/Offense
2,,,,,,,,,,,Alex Mitchell,Graduate Assistant/Offense & Special Teams
3,,,,,,,,,,,Cole Trammell,Assistant Operations Director
4,,,,,,,,,,,Kayleigh Hite,Student Graphic Designer/Media Assistant
5,,,,,,,,,,,Andrew Bement,Recruiting Student Manager
